Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy)) AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 127

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","60","2025","8","Arashkia, A.","7","Medicine","77","Review","127","final","127","Frontiers In Immunology","8","Human","121","Tehran University of Medical Sciences","30","Mashhad University of Medical Sciences","5","Iran","127","Journal","127","English","123"
"Gold","48","2024","27","Goradel, N.H.","7","Biochemistry, Genetics and Molecular Biology","73",,,,,"International Immunopharmacology","6","Review","119","Iran University of Medical Sciences","25","Baqiyatallah University of Medical Sciences","4","United States","16",,,"Persian","3"
"Hybrid Gold","2","2023","23","Farzanehpour, M.","6","Pharmacology, Toxicology and Pharmaceutics","28",,,,,"Biomedicine And Pharmacotherapy","5","Oncolytic Virus","91","Shahid Beheshti University of Medical Sciences","24","Shahid Beheshti University of Medical Sciences","3","Canada","10",,,"Arabic","1"
"Bronze","8","2022","23","Negahdari, B.","6","Immunology and Microbiology","26",,,,,"Cell Communication And Signaling","5","Humans","90","Pasteur Institute of Iran","19","Iran National Science Foundation","2","Iraq","8",,,,
"Green","39","2021","20","Baradaran, B.","5","Neuroscience","3",,,,,"Cancer Cell International","4","Oncolytic Virotherapy","88","Tabriz University of Medical Sciences","19","Iran University of Medical Sciences","2","Italy","8",,,,
,,"2020","7","Dianat-Moghadam, H.","5","Agricultural and Biological Sciences","2",,,,,"Journal Of Cellular Physiology","4","Nonhuman","86","Mashhad University of Medical Sciences","16","National Institutes of Health","2","Australia","6",,,,
,,"2019","10","Dorostkar, R.","5","Social Sciences","2",,,,,"Cancer Medicine","3","Immunotherapy","66","Baqiyatallah University of Medical Sciences","12","U.S. Department of Health and Human Services","2","Saudi Arabia","5",,,,
,,"2018","1","Esmaeili Gouvarchin Ghaleh, H.","4","Earth and Planetary Sciences","1",,,,,"Clinical And Experimental Medicine","3","Cancer Immunotherapy","56","School of Medicine IUMS","11","UK Research and Innovation","2","Turkey","5",,,,
,,"2017","2","Ghaemi, A.","4","Engineering","1",,,,,"Current Cancer Therapy Reviews","3","Tumor Microenvironment","54","Shiraz University of Medical Sciences","11","Ahvaz Jundishapur University of Medical Sciences","1","United Kingdom","5",,,,
,,"2016","1","Ghaleh, H.E.G.","4","Environmental Science","1",,,,,"Immunotherapy","3","Procedures","52","Isfahan University of Medical Sciences","10","Biomedical Research Foundation","1","China","4",,,,
