Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating"") AND DOCTYPE(ar))"


Number of results : 14683

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","8877","2025","534","Rosenberg, S.A.","294","Medicine","11965","Article","14683","final","14634","Cancer Immunology Immunotherapy","488","Article","12846","National Cancer Institute NCI","491","National Institutes of Health","2095","United States","4624","Journal","14645","English","14183"
"Gold","4570","2024","1190","Robbins, P.F.","86","Biochemistry, Genetics and Molecular Biology","7399",,,"aip","49","Clinical Cancer Research","452","Human","12711","National Institutes of Health NIH","405","National Cancer Institute","2023","China","3549","Book Series","34","Chinese","229"
"Hybrid Gold","1108","2023","963","Salgado, R.","72","Immunology and Microbiology","3239",,,,,"Frontiers In Immunology","443","Tumor Associated Leukocyte","11134","The University of Texas MD Anderson Cancer Center","379","U.S. Department of Health and Human Services","1864","Japan","1705","Trade Journal","1","Japanese","92"
"Bronze","1586","2022","1158","Hwu, P.","60","Pharmacology, Toxicology and Pharmaceutics","1107",,,,,"Journal For Immunotherapy Of Cancer","378","Humans","9988","Harvard Medical School","362","National Natural Science Foundation of China","1616","Germany","1076","Conference Proceeding","1","Russian","52"
"Green","7215","2021","1715","Kawakami, Y.","60","Multidisciplinary","596",,,,,"Cancer Research","363","Female","9499","Inserm","325","Ministry of Science and Technology of the People's Republic of China","1282","Italy","802","Undefined","2","French","37"
,,"2020","1298","Svane, I.M.","59","Chemistry","301",,,,,"Journal Of Immunology","254","Lymphocytes, Tumor-Infiltrating","9345","Memorial Sloan-Kettering Cancer Center","259","Japan Society for the Promotion of Science","621","United Kingdom","700",,,"German","34"
,,"2019","977","Yang, J.C.","56","Chemical Engineering","222",,,,,"Cancer Immunology Research","251","Controlled Study","8147","Ministry of Education of the People's Republic of China","249","Ministry of Education, Culture, Sports, Science and Technology","611","France","691",,,"Spanish","19"
,,"2018","770","Dudley, M.E.","54","Physics and Astronomy","201",,,,,"Oncoimmunology","249","Male","6537","Brigham and Women's Hospital","246","European Commission","370","South Korea","541",,,"Italian","11"
,,"2017","633","Donia, M.","53","Neuroscience","192",,,,,"International Journal Of Cancer","244","Adult","6478","Dana-Farber Cancer Institute","236","National Research Foundation of Korea","239","Netherlands","480",,,"Czech","9"
,,"2016","527","Topalian, S.L.","50","Computer Science","184",,,,,"Scientific Reports","228","Human Tissue","6193","German Cancer Research Center","233","Bristol-Myers Squibb","226","Canada","449",,,"Hungarian","9"
,,"2015","430","Loi, S.","49","Engineering","112",,,,,"Cancers","213","Immunology","5983","Fudan University","232","National Key Research and Development Program of China","216","Australia","443",,,"Polish","8"
,,"2014","303","Itoh, K.","47","Agricultural and Biological Sciences","110",,,,,"BMC Cancer","208","Pathology","5940","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","201","Roche","185","Switzerland","421",,,"Korean","5"
