Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating""))"


Number of results : 17644

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","10359","2025","668","Rosenberg, S.A.","327","Medicine","14352","Article","14683","final","17578","Frontiers In Immunology","621","Human","15271","National Cancer Institute NCI","577","National Institutes of Health","2393","United States","5672","Journal","17311","English","17000"
"Gold","5338","2024","1462","Salgado, R.","109","Biochemistry, Genetics and Molecular Biology","8770","Review","2007","aip","66","Cancer Immunology Immunotherapy","533","Tumor Associated Leukocyte","13186","National Institutes of Health NIH","476","National Cancer Institute","2285","China","3961","Book Series","167","Chinese","258"
"Hybrid Gold","1286","2023","1174","Robbins, P.F.","90","Immunology and Microbiology","3865","Book Chapter","214",,,"Clinical Cancer Research","472","Article","12892","The University of Texas MD Anderson Cancer Center","459","U.S. Department of Health and Human Services","2098","Japan","1867","Book","109","Japanese","124"
"Bronze","1876","2022","1395","Loi, S.","84","Pharmacology, Toxicology and Pharmaceutics","1324","Conference Paper","210",,,"Journal For Immunotherapy Of Cancer","400","Humans","11944","Harvard Medical School","424","National Natural Science Foundation of China","1779","Germany","1284","Conference Proceeding","54","French","78"
"Green","8329","2021","2015","Svane, I.M.","72","Multidisciplinary","630","Letter","153",,,"Cancer Research","377","Lymphocytes, Tumor-Infiltrating","10847","Inserm","402","Ministry of Science and Technology of the People's Republic of China","1412","Italy","1055","Trade Journal","1","German","71"
,,"2020","1577","Hwu, P.","67","Chemistry","370","Note","136",,,"Cancers","318","Female","10004","Memorial Sloan-Kettering Cancer Center","318","Japan Society for the Promotion of Science","651","United Kingdom","880","Undefined","2","Russian","54"
,,"2019","1183","Denkert, C.","64","Chemical Engineering","293","Editorial","102",,,"Oncoimmunology","268","Controlled Study","8320","Brigham and Women's Hospital","275","Ministry of Education, Culture, Sports, Science and Technology","634","France","867",,,"Spanish","28"
,,"2018","942","Kawakami, Y.","64","Computer Science","285","Short Survey","71",,,"Journal Of Immunology","265","Immunology","7130","German Cancer Research Center","274","European Commission","440","Netherlands","593",,,"Czech","15"
,,"2017","794","Donia, M.","62","Physics and Astronomy","240","Erratum","55",,,"Cancer Immunology Research","255","Pathology","6737","Ministry of Education of the People's Republic of China","272","National Research Foundation of Korea","257","South Korea","581",,,"Italian","14"
,,"2016","662","Yang, J.C.","60","Neuroscience","218","Retracted","6",,,"International Journal Of Cancer","253","Male","6711","Dana-Farber Cancer Institute","270","Bristol-Myers Squibb","256","Australia","557",,,"Polish","14"
,,"2015","533","Dudley, M.E.","59","Engineering","158","Book","3",,,"Scientific Reports","233","Adult","6638","Fudan University","255","National Key Research and Development Program of China","245","Canada","552",,,"Hungarian","11"
,,"2014","379","Whiteside, T.L.","58","Agricultural and Biological Sciences","133","Conference Review","2",,,"Frontiers In Oncology","213","Human Tissue","6336","University of Pittsburgh School of Medicine","228","Roche","219","Switzerland","499",,,"Korean","6"
,,"2013","333","Nelson, B.H.","53","Dentistry","126","Data Paper","2",,,"BMC Cancer","212","Priority Journal","6335","Institut de Cancerologie Gustave Roussy","227","Deutsche Forschungsgemeinschaft","197","Spain","460",,,"Dutch","3"
,,"2012","321","Coukos, G.","52","Materials Science","121",,,,,"British Journal Of Cancer","211","Tumor Microenvironment","5773","Massachusetts General Hospital","219","U.S. Department of Defense","197","Belgium","379",,,"Hebrew","3"
,,"2011","265","Itoh, K.","52","Health Professions","98",,,,,"Oncotarget","202","Human Cell","5596","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","218","AstraZeneca","192","Sweden","368",,,"Portuguese","3"
,,"2010","247","Topalian, S.L.","51","Veterinary","80",,,,,"Anticancer Research","183","CD8+ T Lymphocyte","5584","UPMC Hillman Cancer Center","208","Horizon 2020 Framework Programme","182","Denmark","256",,,"Turkish","3"
,,"2009","216","Lotze, M.T.","49","Mathematics","66",,,,,"Journal Of Immunotherapy","174","Metabolism","5561","Yale School of Medicine","203","National Institute of Allergy and Infectious Diseases","176","India","201",,,"Croatian","2"
,,"2008","220","Scolyer, R.A.","47","Environmental Science","39",,,,,"International Journal Of Molecular Sciences","173","Immunohistochemistry","5435","Peter Maccallum Cancer Centre","202","Merck","174","Austria","200",,,"Arabic","1"
,,"2007","187","Curigliano, G.","46","Nursing","36",,,,,"Plos One","166","Aged","5409","Karolinska Institutet","200","Breast Cancer Research Foundation","163","Poland","198",,,"Finnish","1"
,,"2006","151","Lee, H.J.","46","Arts and Humanities","13",,,,,"Modern Pathology","130","Middle Aged","4989","Shanghai Jiao Tong University School of Medicine","193","China Postdoctoral Science Foundation","154","Taiwan","189",,,"Greek","1"
,,"2005","150","Gong, G.","45","Social Sciences","12",,,,,"Nature Communications","130","Prognosis","4737","Sun Yat-Sen University Cancer Center","188","Cancer Research UK","152","Israel","188",,,"Serbian","1"
,,"2004","167","Besser, M.J.","44","Business, Management and Accounting","7",,,,,"International Immunopharmacology","124","Major Clinical Study","4619","Sun Yat-Sen University","180","Associazione Italiana per la Ricerca sul Cancro","150","Brazil","183",,,"Slovenian","1"
,,"2003","145","Ohira, M.","44","Decision Sciences","7",,,,,"Cancer Science","115","Protein Expression","4613","Leids Universitair Medisch Centrum","179","Pfizer","150","Finland","181",,,"Ukrainian","1"
,,"2002","151","Sotiriou, C.","44","Earth and Planetary Sciences","6",,,,,"Breast Cancer Research And Treatment","111","Nonhuman","4313","Université Paris Cité","173","UK Research and Innovation","150","Greece","173",,,,
,,"2001","161","Dieci, M.V.","43","Economics, Econometrics and Finance","2",,,,,"European Journal Of Cancer","109","Genetics","4183","University of Melbourne","172","National Health and Medical Research Council","139","Turkey","148",,,,
,,"2000","156","Oda, Y.","43","Energy","2",,,,,"Cancer Letters","100","Cancer Prognosis","3808","University of Pennsylvania","170","American Cancer Society","134","Iran","138",,,,
,,"1999","168","Restifo, N.P.","41","Psychology","2",,,,,"Annals Of Surgical Oncology","95","Immunotherapy","3717","Johns Hopkins University School of Medicine","165","Ministry of Education of the People's Republic of China","131","Norway","130",,,,
,,"1998","138","Bernatchez, C.","40","Undefined","16",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","94","Animals","3622","University of Pittsburgh","163","Science and Technology Commission of Shanghai Municipality","130","Russian Federation","107",,,,
,,"1997","158","Wunderlich, J.R.","40",,,,,,,"Cancer","92","Overall Survival","3480","Weill Cornell Medicine","162","Guangdong Provincial Department of Science and Technology","129","Egypt","106",,,,
,,"1996","192","Haanen, J.B.A.G.","39",,,,,,,"Journal Of Translational Medicine","90","Cancer Immunotherapy","3468","The Netherlands Cancer Institute","162","Fundamental Research Funds for the Central Universities","128","Czech Republic","105",,,,
,,"1995","217","Parmiani, G.","39",,,,,,,"Cancer Medicine","89","T Lymphocyte","3440","Moffitt Cancer Center","157","Novartis","126","Singapore","104",,,,
,,"1994","214","Schachter, J.","39",,,,,,,"Human Pathology","87","Programmed Death 1 Ligand 1","3423","Università degli Studi di Milano","147","National Institute of General Medical Sciences","124","Hong Kong","97",,,,
,,"1993","217","Willard-Gallo, K.","39",,,,,,,"Aging","86","Mouse","3353","Mayo Clinic","146","European Research Council","120","Hungary","92",,,,
,,"1992","208","Hirakawa, K.","38",,,,,,,"Journal Of Pathology","84","Animal","3132","Huazhong University of Science and Technology","144","Instituto de Salud Carlos III","117","Portugal","80",,,,
,,"1991","157","Madabhushi, A.","37",,,,,,,"Virchows Archiv","83","Cancer Staging","3076","Chinese Academy of Sciences","136","Ministerio de Economía y Competitividad","116","Ireland","67",,,,
,,"1990","136","Adams, S.","36",,,,,,,"Pathology Research And Practice","82","Unclassified Drug","3070","Stanford University School of Medicine","135","Department of Health and Aged Care, Australian Government","114","Romania","61",,,,
,,"1989","75","Marincola, F.M.","36",,,,,,,"Breast Cancer Research","81","Cancer Survival","2933","Université Paris-Saclay","134","National Center for Advancing Translational Sciences","114","Indonesia","60",,,,
,,"1988","43","Becker, J.C.","35",,,,,,,"Histopathology","81","Tumor Marker","2847","Southern Medical University","131","Government of Canada","113","Mexico","55",,,,
,,"1987","19","Fridman, W.H.","35",,,,,,,"Journal Of Clinical Oncology","78","CD8-Positive T-Lymphocytes","2823","Charité – Universitätsmedizin Berlin","131","Natural Science Foundation of Guangdong Province","111","Argentina","51",,,,
,,"1986","12","Gartner, J.J.","35",,,,,,,"Journal Of Clinical Investigation","73","Animal Experiment","2773","Tongji Medical College of Huazhong University of Science and Technology","128","Ministry of Science, ICT and Future Planning","110","Qatar","49",,,,
,,"1985","9","Larsimont, D.","35",,,,,,,"Annals Of Oncology","71","Mice","2701","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan","128","Japan Agency for Medical Research and Development","105","Saudi Arabia","45",,,,
,,"1984","8","Hartmann, A.","34",,,,,,,"Oncology Letters","66","CD8 Antigen","2671","The University of British Columbia","126","Canadian Institutes of Health Research","103","New Zealand","35",,,,
