Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating"") AND DOCTYPE(re))"


Number of results : 2007

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1142","2025","104","Loi, S.","30","Medicine","1664","Review","2007","final","1994","Frontiers In Immunology","156","Human","1884","National Cancer Institute NCI","61","National Institutes of Health","219","United States","691","Journal","1999","English","1904"
"Gold","663","2024","192","Salgado, R.","27","Biochemistry, Genetics and Molecular Biology","935",,,"aip","13","Cancers","103","Review","1779","National Institutes of Health NIH","54","National Cancer Institute","183","China","342","Book Series","8","Chinese","29"
"Hybrid Gold","143","2023","158","Rosenberg, S.A.","22","Immunology and Microbiology","477",,,,,"International Journal Of Molecular Sciences","58","Tumor Associated Leukocyte","1502","Inserm","52","U.S. Department of Health and Human Services","167","Italy","186",,,"French","27"
"Bronze","158","2022","165","Curigliano, G.","18","Pharmacology, Toxicology and Pharmaceutics","183",,,,,"Frontiers In Oncology","43","Humans","1427","The University of Texas MD Anderson Cancer Center","52","National Natural Science Foundation of China","148","Germany","142",,,"German","26"
"Green","910","2021","240","Denkert, C.","18","Chemical Engineering","68",,,,,"Cancer Immunology Immunotherapy","26","Lymphocytes, Tumor-Infiltrating","992","Harvard Medical School","45","Ministry of Science and Technology of the People's Republic of China","118","United Kingdom","124",,,"Japanese","12"
,,"2020","201","Savas, P.","18","Chemistry","63",,,,,"Expert Opinion On Biological Therapy","23","Immunotherapy","965","Memorial Sloan-Kettering Cancer Center","44","European Commission","51","France","121",,,"Czech","6"
,,"2019","138","Adams, S.","17","Computer Science","61",,,,,"Immunotherapy","23","Tumor Microenvironment","924","Peter Maccallum Cancer Centre","44","Breast Cancer Research Foundation","30","Netherlands","87",,,"Spanish","6"
,,"2018","116","Sotiriou, C.","15","Neuroscience","19",,,,,"Cancer Letters","22","Immunology","885","Institut de Cancerologie Gustave Roussy","38","Roche","30","Australia","83",,,"Polish","5"
,,"2017","112","Criscitiello, C.","14","Multidisciplinary","16",,,,,"Current Opinion In Immunology","19","Cancer Immunotherapy","870","University of Melbourne","35","Deutsche Forschungsgemeinschaft","28","Japan","81",,,"Hungarian","2"
,,"2016","83","Loibl, S.","14","Dentistry","10",,,,,"Seminars In Cancer Biology","19","Nonhuman","692","Istituto Europeo di Oncologia","35","Associazione Italiana per la Ricerca sul Cancro","25","Spain","77",,,"Russian","2"
,,"2015","64","Solinas, C.","14","Agricultural and Biological Sciences","8",,,,,"Cancer Treatment Reviews","17","Neoplasms","623","The Netherlands Cancer Institute","34","Japan Society for the Promotion of Science","24","Canada","72",,,"Finnish","1"
,,"2014","43","Viale, G.","14","Engineering","8",,,,,"Critical Reviews In Oncology Hematology","17","Pathology","584","German Cancer Research Center","32","National Key Research and Development Program of China","24","Belgium","61",,,"Greek","1"
,,"2013","25","Penault-Llorca, F.","13","Nursing","7",,,,,"Biochimica Et Biophysica Acta Reviews On Cancer","16","T Lymphocyte","553","Institut Jules Bordet","32","U.S. Department of Defense","24","Switzerland","58",,,"Hebrew","1"
,,"2012","25","Michiels, S.","12","Physics and Astronomy","6",,,,,"Cancer Journal United States","16","Animals","546","Université Paris-Saclay","31","Bristol-Myers Squibb","23","Iran","48",,,"Italian","1"
,,"2011","30","Nelson, B.H.","12","Health Professions","5",,,,,"Journal For Immunotherapy Of Cancer","16","Neoplasm","498","Weill Cornell Medicine","30","Horizon 2020 Framework Programme","23","Poland","41",,,"Korean","1"
,,"2010","25","Pruneri, G.","12","Materials Science","5",,,,,"Clinical Cancer Research","15","Metabolism","492","Université Libre de Bruxelles","29","National Health and Medical Research Council","21","India","35",,,,
,,"2009","18","Willard-Gallo, K.","12","Earth and Planetary Sciences","3",,,,,"Journal Of Hematology And Oncology","15","Animal","482","University of Pittsburgh School of Medicine","29","Ministry of Education, Culture, Sports, Science and Technology","20","Denmark","32",,,,
,,"2008","24","Dieci, M.V.","11","Veterinary","3",,,,,"Current Treatment Options In Oncology","14","Priority Journal","481","University of Pennsylvania","28","European Research Council","19","Greece","31",,,,
,,"2007","14","Haanen, J.B.A.G.","11","Environmental Science","1",,,,,"Immunology","14","Immune Response","447","The University of British Columbia","27","National Institute of Allergy and Infectious Diseases","19","Sweden","31",,,,
,,"2006","14","Kok, M.","11","Undefined","5",,,,,"Current Opinion In Oncology","13","Procedures","441","Université Paris Cité","27","Novartis","19","South Korea","30",,,,
,,"2005","17","Luen, S.J.","11",,,,,,,"Immunological Reviews","13","CD8+ T Lymphocyte","437","Università degli Studi di Milano","26","UK Research and Innovation","18","Brazil","27",,,,
,,"2004","14","Badve, S.","10",,,,,,,"Seminars In Immunology","13","Programmed Death 1 Ligand 1","424","Dana-Farber Cancer Institute","25","Cancer Research UK","17","Austria","23",,,,
,,"2003","12","Coukos, G.","10",,,,,,,"Seminars In Oncology","13","Melanoma","391","Yale School of Medicine","25","Instituto de Salud Carlos III","17","Israel","23",,,,
,,"2002","12","Fineberg, S.","10",,,,,,,"Bulletin Du Cancer","12","Cancer Prognosis","386","UPMC Hillman Cancer Center","24","Department of Health and Aged Care, Australian Government","16","Singapore","21",,,,
,,"2001","10","Kos, Z.","10",,,,,,,"Cells","12","Tumor Immunity","368","Centre Hospitalier Universitaire Vaudois","23","Institut National Du Cancer","16","Portugal","20",,,,
,,"2000","8","Larsimont, D.","9",,,,,,,"Biomedicines","11","Adoptive Immunotherapy","355","Charité – Universitätsmedizin Berlin","23","National Research Foundation of Korea","16","Czech Republic","16",,,,
,,"1999","20","Moore, D.A.","9",,,,,,,"Breast Cancer Research And Treatment","11","Regulatory T Lymphocyte","331","Zhejiang University School of Medicine","23","European Regional Development Fund","15","Russian Federation","16",,,,
,,"1998","7","Preusser, M.","9",,,,,,,"Future Oncology","11","Breast Cancer","326","Massachusetts General Hospital","22","Ministerio de Economía y Competitividad","15","Hong Kong","14",,,,
,,"1997","9","Rojo, F.","9",,,,,,,"Nature Reviews Clinical Oncology","11","Prognosis","324","NYU Langone Health","22","Ministero della Salute","15","Egypt","13",,,,
,,"1996","17","Svane, I.M.","9",,,,,,,"World Journal Of Gastroenterology","11","Female","319","Fudan University","21","Agence Nationale de la Recherche","14","Ireland","13",,,,
,,"1995","12","Thompson, E.A.","9",,,,,,,"Current Oncology Reports","10","Genetics","315","Sichuan University","21","AstraZeneca","14","Romania","13",,,,
,,"1994","15","Wienert, S.","9",,,,,,,"International Immunopharmacology","10","Pembrolizumab","313","Tehran University of Medical Sciences","21","Ligue Contre le Cancer","13","Argentina","12",,,,
,,"1993","17","Acs, B.","8",,,,,,,"Molecular Cancer","10","Programmed Death 1 Receptor","313","Karolinska Institutet","20","National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization","13","Mexico","12",,,,
,,"1992","15","Demaria, S.","8",,,,,,,"Journal Of Immunology","9","Protein Expression","306","AP-HP Assistance Publique - Hopitaux de Paris","20","Pfizer","13","Qatar","10",,,,
,,"1991","15","Donia, M.","8",,,,,,,"Trends In Cancer","9","Immune Checkpoint Inhibitor","298","University of Pittsburgh","19","Science and Technology Department of Zhejiang Province","13","Saudi Arabia","10",,,,
,,"1990","7","Grigoriadis, A.","8",,,,,,,"British Journal Of Cancer","8","Unclassified Drug","287","Brigham and Women's Hospital","19","Government of Canada","12","Taiwan","10",,,,
,,"1989","5","Smyth, M.J.","8",,,,,,,"Cancer","8","Overall Survival","283","University of Toronto","19","Melanoma Research Alliance","12","Finland","9",,,,
,,"1988","1","Vincent-Salomon, A.","8",,,,,,,"Cancer Chemotherapy And Biological Response Modifiers","8","Immunotherapy, Adoptive","281","Université de Lausanne UNIL","18","Merck","12","Hungary","9",,,,
,,"1987","1","Allison, K.H.","7",,,,,,,"Clinical And Developmental Immunology","8","T-Lymphocytes","281","Johns Hopkins University School of Medicine","18","National Institute of General Medical Sciences","12","Malaysia","9",,,,
,,"1986","1","Baradaran, B.","7",,,,,,,"Clinical And Translational Oncology","8","Natural Killer Cell","280","Sorbonne Université","18","Natural Science Foundation of Zhejiang Province","12","Norway","9",,,,
,,"1985","1","Besser, M.J.","7",,,,,,,"Current Breast Cancer Reports","8","Nivolumab","278","Ministry of Education of the People's Republic of China","18","American Cancer Society","11","Chile","8",,,,
,,,,"Blenman, K.R.M.","7",,,,,,,"Journal Of Leukocyte Biology","8","Antineoplastic Activity","275","Albert Einstein College of Medicine","18","Canadian Institutes of Health Research","11","Turkey","8",,,,
,,,,"Bossuyt, V.","7",,,,,,,"Journal Of Pathology","8","Tumor Antigen","273","Università degli Studi di Torino","18","China Postdoctoral Science Foundation","11","Bangladesh","7",,,,
,,,,"Broeckx, G.","7",,,,,,,"Annals Of Oncology","7","Tumor Marker","265","NYU Grossman School of Medicine","18","Deutsche Krebshilfe","11","Jordan","7",,,,
,,,,"Cimino-Mathews, A.","7",,,,,,,"Archivum Immunologiae Et Therapiae Experimentalis","7","Immunocompetent Cell","264","British Columbia Cancer Agency","18","Institut National de la Santé et de la Recherche Médicale","11","Morocco","7",,,,
