Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 86

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","42","2025","3","Hassan, Z.M.","9","Medicine","49","Article","86","final","85","International Immunopharmacology","7","Article","75","Tehran University of Medical Sciences","22","Shiraz University of Medical Sciences","12","Iran","86","Journal","86","English","85"
"Gold","31","2024","14","Ghaderi, A.","7","Biochemistry, Genetics and Molecular Biology","48",,,"aip","1","Journal Of Cellular Physiology","5","Tumor Associated Leukocyte","71","Shiraz University of Medical Sciences","17","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","9","United States","12",,,"Arabic","1"
"Hybrid Gold","3","2023","10","Ahmadvand, S.","5","Immunology and Microbiology","20",,,,,"Iranian Journal Of Allergy Asthma And Immunology","3","Human","62","Shahid Beheshti University of Medical Sciences","16","Mashhad University of Medical Sciences","7","Canada","6",,,,
"Bronze","4","2022","16","Jaafari, M.R.","5","Pharmacology, Toxicology and Pharmaceutics","18",,,,,"Life Sciences","3","Controlled Study","60","Tarbiat Modares University","14","Tehran University of Medical Sciences and Health Services","5","Sweden","6",,,,
"Green","25","2021","11","Baradaran, B.","4","Multidisciplinary","4",,,,,"Tumor Biology","3","Female","57","School of Medicine","13","Iran National Science Foundation","4","Netherlands","5",,,,
,,"2020","12","Mahdavi, M.","4","Chemistry","3",,,,,"BMC Cancer","2","Humans","43","Shiraz Institute for Cancer Research SUMS","13","Shahid Beheshti University of Medical Sciences","4","United Kingdom","4",,,,
,,"2019","3","Zali, M.R.","4","Veterinary","3",,,,,"Cell Journal","2","Lymphocytes, Tumor-Infiltrating","42","Mashhad University of Medical Sciences","12","Academic Center for Education, Culture and Research","3","Germany","3",,,,
,,"2017","2","Dehghanian, A.R.","3","Computer Science","1",,,,,"International Journal Of Cancer Management","2","CD8+ T Lymphocyte","36","Iran University of Medical Sciences","11","Iran University of Medical Sciences","3","Italy","3",,,,
,,"2016","2","Ebtekar, M.","3","Dentistry","1",,,,,"Iranian Journal Of Basic Medical Sciences","2","Adult","34","Pasteur Institute of Iran","8","National Cancer Institute","3","Australia","2",,,,
,,"2015","2","Faghih, Z.","3","Health Professions","1",,,,,"Iranian Journal Of Immunology","2","Mouse","32","Iranian Academic Center for Education, Culture and Research","8","National Institutes of Health","3","China","2",,,,
,,"2013","2","Falak, R.","3","Materials Science","1",,,,,"Molecular Immunology","2","Nonhuman","32","Breast Disease Research Center","8","Tabriz University of Medical Sciences","3","France","2",,,,
,,"2012","1","Javidi, M.A.","3","Neuroscience","1",,,,,"Plos One","2","Human Tissue","30","Isfahan University of Medical Sciences","7","U.S. Department of Health and Human Services","3","Paraguay","2",,,,
,,"2011","1","Kazemi, M.H.","3","Nursing","1",,,,,"Advanced Biomedical Research","1","Pathology","30","School of Medicine","7","European Commission","2","Argentina","1",,,,
,,"2010","2","Madabhushi, A.","3","Physics and Astronomy","1",,,,,"Advanced Functional Materials","1","Protein Expression","30","Tabriz University of Medical Sciences","7","National Center for Research Resources","2","Austria","1",,,,
,,"2009","2","Mohamadian Roshan, N.","3",,,,,,,"Animal Models And Experimental Medicine","1","Metabolism","28","Mashhad University of Medical Sciences, School of Medicine","6","Tarbiat Modares University","2","Bangladesh","1",,,,
,,"2007","1","Montazer, M.","3",,,,,,,"BMC Immunology","1","Animal Experiment","27","School of Medicine IUMS","6","U.S. Department of Defense","2","Belgium","1",,,,
,,"2006","1","Mostafaie, A.","3",,,,,,,"BMC Urology","1","Animal Model","27","Kermanshah University of Medical Sciences","6","Wallace H. Coulter Foundation","2","Brazil","1",,,,
,,"2003","1","Muhammadnejad, S.","3",,,,,,,"Bioimpacts","1","Human Cell","27","Karolinska Institutet","6","Arak University of Medical Sciences","1","Chile","1",,,,
,,,,"Namdar, A.","3",,,,,,,"Biomedical Signal Processing And Control","1","Male","27","University of Tehran","5","AstraZeneca","1","Colombia","1",,,,
,,,,"Nikpoor, A.R.","3",,,,,,,"Brazilian Journal Of Otorhinolaryngology","1","Tumor Volume","27","Immunology Research Center","5","Baqiyatallah University of Medical Sciences","1","Denmark","1",,,,
,,,,"Nili, F.","3",,,,,,,"Breast Disease","1","Animals","26","Immunology Research Center","5","Biomedical Laboratory Research and Development, VA Office of Research and Development","1","Finland","1",,,,
,,,,"Sadeghi, B.","3",,,,,,,"Cancer Cell International","1","Immunohistochemistry","26","Imam Khomeini Hospital","4","Breast Cancer Alliance","1","India","1",,,,
,,,,"Safaei, A.","3",,,,,,,"Cancer Gene Therapy","1","Immunology","26","School of Medicine","4","Breast Cancer Research Foundation","1","Ireland","1",,,,
,,,,"Sanati, H.","3",,,,,,,"Cancer Reports","1","Animal Cell","24","Urmia University of Medical Sciences","4","Bushehr University of Medical Sciences","1","Japan","1",,,,
,,,,"Shahabi, S.","3",,,,,,,"Cancer Treatment And Research Communications","1","Mice","23","Birjand University of Medical Sciences","4","CRUK Lung Cancer Centre of Excellence","1","Morocco","1",,,,
