Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating"") AND AFFILCOUNTRY(Iran))"


Number of results : 138

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","63","2025","4","Baradaran, B.","11","Medicine","81","Article","86","final","137","Journal Of Cellular Physiology","9","Tumor Associated Leukocyte","111","Tehran University of Medical Sciences","46","Shiraz University of Medical Sciences","13","Iran","138","Journal","136","English","137"
"Gold","45","2024","21","Hassan, Z.M.","9","Biochemistry, Genetics and Molecular Biology","77","Review","48","aip","1","International Immunopharmacology","8","Human","109","Shahid Beheshti University of Medical Sciences","23","National Institutes of Health","10","United States","25","Book","1","Arabic","1"
"Hybrid Gold","5","2023","18","Madabhushi, A.","9","Immunology and Microbiology","31","Book Chapter","2",,,"Frontiers In Immunology","5","Humans","82","Mashhad University of Medical Sciences","21","U.S. Department of Health and Human Services","10","Italy","17","Book Series","1",,
"Bronze","6","2022","22","Ghaderi, A.","8","Pharmacology, Toxicology and Pharmaceutics","25","Short Survey","1",,,"Life Sciences","4","Article","76","Tabriz University of Medical Sciences","20","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","9","Canada","15",,,,
"Green","42","2021","21","Acs, B.","7","Chemistry","7","Retracted","1",,,"Npj Breast Cancer","4","Female","67","Shiraz University of Medical Sciences","18","National Cancer Institute","8","Germany","15",,,,
,,"2020","23","Adams, S.","7","Computer Science","5",,,,,"International Journal Of Cancer Management","3","Controlled Study","65","Iran University of Medical Sciences","18","Tabriz University of Medical Sciences","8","Sweden","15",,,,
,,"2019","6","Azmoudeh-Ardalan, F.","7","Chemical Engineering","4",,,,,"International Journal Of Molecular Sciences","3","Lymphocytes, Tumor-Infiltrating","65","School of Medicine","16","Breast Cancer Research Foundation","7","Netherlands","13",,,,
,,"2018","3","Blenman, K.R.M.","7","Multidisciplinary","4",,,,,"Iranian Journal Of Allergy Asthma And Immunology","3","Pathology","52","Karolinska Institutet","14","Mashhad University of Medical Sciences","7","United Kingdom","13",,,,
,,"2017","3","Broeckx, G.","7","Veterinary","3",,,,,"Journal Of Pathology","3","Cancer Immunotherapy","51","School of Medicine","14","U.S. Department of Defense","6","China","9",,,,
,,"2016","4","Ciompi, F.","7","Dentistry","1",,,,,"Tumor Biology","3","Nonhuman","50","Tarbiat Modares University","14","European Commission","5","France","9",,,,
,,"2015","2","Fineberg, S.","7","Health Professions","1",,,,,"BMC Cancer","2","Tumor Microenvironment","50","Shiraz Institute for Cancer Research SUMS","14","Tehran University of Medical Sciences and Health Services","5","Japan","9",,,,
,,"2013","2","Grigoriadis, A.","7","Materials Science","1",,,,,"Cancer Letters","2","CD8+ T Lymphocyte","47","Immunology Research Center","13","UK Research and Innovation","5","Australia","8",,,,
,,"2012","1","Hanna, M.G.","7","Neuroscience","1",,,,,"Cancers","2","Immunology","47","Faculty of Medicine","11","Congressionally Directed Medical Research Programs","4","Argentina","7",,,,
,,"2011","1","Hartman, J.","7","Nursing","1",,,,,"Cell Journal","2","Review","44","Case Western Reserve University","9","DOD Prostate Cancer Research Program","4","Bangladesh","7",,,,
,,"2010","2","Husain, Z.","7","Physics and Astronomy","1",,,,,"Diagnostics","2","Protein Expression","43","Mashhad University of Medical Sciences, School of Medicine","9","Department of Health and Aged Care, Australian Government","4","Belgium","7",,,,
,,"2009","2","Irshad, S.","7",,,,,,,"Expert Opinion On Biological Therapy","2","Adult","41","Pasteur Institute of Iran","9","Horizon 2020 Framework Programme","4","Brazil","7",,,,
,,"2007","1","Kirtani, P.","7",,,,,,,"IUBMB Life","2","Metabolism","41","School of Medicine IUMS","9","Iran National Science Foundation","4","Chile","7",,,,
,,"2006","1","Kos, Z.","7",,,,,,,"Iranian Journal Of Basic Medical Sciences","2","Immunotherapy","40","Kermanshah University of Medical Sciences","9","Japan Society for the Promotion of Science","4","Denmark","7",,,,
,,"2003","1","Larsimont, D.","7",,,,,,,"Iranian Journal Of Immunology","2","Animals","38","Isfahan University of Medical Sciences","9","Ministry of Education, Culture, Sports, Science and Technology","4","India","7",,,,
,,,,"Lennerz, J.K.","7",,,,,,,"Molecular Immunology","2","Mouse","35","Breast Disease Research Center","9","National Health and Medical Research Council","4","Ireland","7",,,,
,,,,"Loi, S.","7",,,,,,,"Pathology Research And Practice","2","Priority Journal","33","Emory University School of Medicine","8","National Heart, Lung, and Blood Institute","4","Spain","7",,,,
,,,,"Michiels, S.","7",,,,,,,"Plos One","2","Animal","32","Weill Cornell Medicine","8","National Institute of Biomedical Imaging and Bioengineering","4","Switzerland","7",,,,
,,,,"Moore, D.A.","7",,,,,,,"Advanced Biomedical Research","1","Immunohistochemistry","32","King's College London","8","Shahid Beheshti University of Medical Sciences","4","Austria","6",,,,
,,,,"Penault-Llorca, F.","7",,,,,,,"Advanced Functional Materials","1","Programmed Death 1 Ligand 1","32","Iranian Academic Center for Education, Culture and Research","8","U.S. Army","4","Morocco","6",,,,
,,,,"Pruneri, G.","7",,,,,,,"Animal Models And Experimental Medicine","1","Human Cell","31","Praava Health","7","U.S. Army Medical Command","4","Jordan","5",,,,
,,,,"Pusztai, L.","7",,,,,,,"BJU International","1","Human Tissue","31","Université Libre de Bruxelles","7","Academic Center for Education, Culture and Research","3","Poland","5",,,,
,,,,"Salgado, R.","7",,,,,,,"BMC Immunology","1","Antineoplastic Activity","30","Inserm","7","AstraZeneca","3","Portugal","5",,,,
,,,,"Saltz, J.","7",,,,,,,"BMC Urology","1","Breast Cancer","30","Emory University","7","Cancer Research UK","3","South Africa","5",,,,
,,,,"Savas, P.","7",,,,,,,"Bioimpacts","1","Cancer Prognosis","30","Albert Einstein College of Medicine","7","Engineering and Physical Sciences Research Council","3","Colombia","4",,,,
,,,,"Silvestris, N.","7",,,,,,,"Biomedical Signal Processing And Control","1","Tumor Volume","30","Radboud University Medical Center","7","Iran University of Medical Sciences","3","Egypt","4",,,,
,,,,"Sotiriou, C.","7",,,,,,,"Brazilian Journal Of Otorhinolaryngology","1","Male","29","Bristol-Myers Squibb","7","KWF Kankerbestrijding","3","Finland","4",,,,
,,,,"Thagaard, J.","7",,,,,,,"Breast","1","Animal Experiment","28","Harvard Medical School","7","Mayo Clinic","3","Kenya","4",,,,
,,,,"Viale, G.","7",,,,,,,"Breast Disease","1","Animal Model","28","University College Dublin","7","National Center for Research Resources","3","Malaysia","4",,,,
,,,,"Vincent-Salomon, A.","7",,,,,,,"Cancer Cell International","1","Immune Response","27","Mayo Clinic","7","Peter MacCallum Cancer Centre","3","Mexico","4",,,,
,,,,"Yang, W.","7",,,,,,,"Cancer Gene Therapy","1","Prognosis","27","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan","7","Svenska Sällskapet för Medicinsk Forskning","3","Norway","4",,,,
,,,,"Yuan, Y.","7",,,,,,,"Cancer Immunology Bench To Bedside Immunotherapy Of Cancers Second Edition","1","Cancer Survival","26","Merck &amp; Co., Inc.","7","Wallace H. Coulter Foundation","3","Peru","4",,,,
,,,,"Brunetti, O.","6",,,,,,,"Cancer Reports","1","Genetics","26","Memorial Sloan-Kettering Cancer Center","7","Biomedical Laboratory Research and Development, VA Office of Research and Development","2","Romania","4",,,,
,,,,"Horlings, H.M.","6",,,,,,,"Cancer Treatment And Research Communications","1","Programmed Death 1 Receptor","26","The Institute of Cancer Research","7","Breast Cancer Alliance","2","Russian Federation","4",,,,
,,,,"Jaafari, M.R.","6",,,,,,,"Cell Communication And Signaling","1","Gamma Interferon","25","The University of British Columbia","7","Breast Cancer Now","2","Singapore","4",,,,
,,,,"Korski, K.","6",,,,,,,"Cells","1","Animal Cell","24","Technical University of Denmark","7","Bristol-Myers Squibb","2","Taiwan","4",,,,
,,,,"Laenkholm, A.V.","6",,,,,,,"Cellular Oncology","1","Mice","24","Universidad de la Frontera","7","Canadian Cancer Society","2","Czech Republic","3",,,,
,,,,"Thompson, E.A.","6",,,,,,,"Chemmedchem","1","Tumor Marker","24","Philipps-Universität Marburg","7","Case Western Reserve University","2","Pakistan","3",,,,
,,,,"Tran, W.T.","6",,,,,,,"Clinical And Translational Oncology","1","Colorectal Cancer","23","Centre Jean Perrin","7","Eli Lilly and Company","2","Iraq","2",,,,
,,,,"Ahmadvand, S.","5",,,,,,,"Clinical Genitourinary Cancer","1","Overall Survival","23","Icahn School of Medicine at Mount Sinai","7","Fondation ARC pour la Recherche sur le Cancer","2","Paraguay","2",,,,
,,,,"Amgad, M.","5",,,,,,,"Clinical Immunology","1","Procedures","23","Northwestern University Feinberg School of Medicine","7","Irish Cancer Society","2","Turkey","2",,,,
,,,,"Balslev, E.","5",,,,,,,"Clinical Pathology","1","Regulatory T Lymphocyte","23","National Cancer Institute NCI","7","Isfahan University of Medical Sciences","2","Algeria","1",,,,
,,,,"Cheang, M.C.U.","5",,,,,,,"Cochrane Database Of Systematic Reviews","1","Unclassified Drug","23","Gentofte Hospital","7","Ligue Contre le Cancer","2","Bulgaria","1",,,,
,,,,"Cooper, L.A.D.","5",,,,,,,"Communications Medicine","1","Animal Tissue","22","The University of Texas MD Anderson Cancer Center","7","Ministerie van Volksgezondheid, Welzijn en Sport","2","Greece","1",,,,
,,,,"Corredor, G.","5",,,,,,,"Computers In Biology And Medicine","1","Aged","21","The Netherlands Cancer Institute","7","Roche","2","Hungary","1",,,,
,,,,"Demaria, S.","5",,,,,,,"Critical Reviews In Oncology Hematology","1","Cancer Staging","21","Yale School of Medicine","7","Susan G. Komen","2","Iceland","1",,,,
,,,,"Derakhshani, A.","5",,,,,,,"Current Diabetes Reviews","1","Immunocompetent Cell","21","Hospital Maria Curie","7","Tarbiat Modares University","2","Indonesia","1",,,,
,,,,"Ely, S.","5",,,,,,,"Current Treatment Options In Oncology","1","T Lymphocyte","21","Birjand University of Medical Sciences","7","Agence Nationale de la Recherche","1","Israel","1",,,,
,,,,"Fox, S.B.","5",,,,,,,"Dental Research Journal","1","Tumor-infiltrating Lymphocytes","21","Università degli Studi di Milano, Facoltà di Medicina e Chirurgia","7","Arak University of Medical Sciences","1","New Zealand","1",,,,
,,,,"Jadidi-Niaragh, F.","5",,,,,,,"European Journal Of Pharmacology","1","CD4+ T Lymphocyte","20","Montefiore Medical Center","7","Baqiyatallah University of Medical Sciences","1","Oman","1",,,,
,,,,"Rezaei, N.","5",,,,,,,"Expert Review Of Clinical Immunology","1","Gene Expression","20","KU Leuven","7","Bushehr University of Medical Sciences","1","Philippines","1",,,,
,,,,"Shadbad, M.A.","5",,,,,,,"Free Radical Biology And Medicine","1","Neoplasms","20","Genentech, Inc","7","CRC Health Group","1","Qatar","1",,,,
,,,,"van der Laak, J.","5",,,,,,,"Heliyon","1","Immune Checkpoint Inhibitor","19","University of Melbourne","7","CRUK Lung Cancer Centre of Excellence","1","Saudi Arabia","1",,,,
,,,,"Acosta Haab, G.","4",,,,,,,"Human Pathology","1","Neoplasm","19","Institut de Cancerologie Gustave Roussy","7","California Breast Cancer Research Program","1","South Korea","1",,,,
,,,,"Adam, J.","4",,,,,,,"Immunology","1","Biomarkers, Tumor","18","British Columbia Cancer Agency","7","Canada Foundation for Innovation","1","Sudan","1",,,,
,,,,"Akturk, G.","4",,,,,,,"Immunotherapy","1","Middle Aged","18","Institut Jules Bordet","7","Chulalongkorn University","1","Tunisia","1",,,,
,,,,"Allison, K.H.","4",,,,,,,"Indian Journal Of Dermatology","1","Flow Cytometry","17","Sunnybrook Health Sciences Centre","7","Deutsche Forschungsgemeinschaft","1","Viet Nam","1",,,,
,,,,"Araya, J.C.","4",,,,,,,"Informatics In Medicine Unlocked","1","Major Clinical Study","17","Massachusetts General Hospital","7","Deutsche Krebshilfe","1",,,,,,
,,,,"Asadzadeh, Z.","4",,,,,,,"International Journal Of Hematology Oncology And Stem Cell Research","1","Transcription Factor FOXP3","17","Università degli Studi di Milano","7","European Association of Urology","1",,,,,,
,,,,"Badve, S.","4",,,,,,,"International Journal Of Medicinal Mushrooms","1","Histopathology","16","Istituto Europeo di Oncologia","7","European Research Council","1",,,,,,
,,,,"Bago-Horvath, Z.","4",,,,,,,"International Journal Of Molecular And Cellular Medicine","1","Lymphocytic Infiltration","16","Institut Curie","7","Faculty of Dentistry, Chulalongkorn University","1",,,,,,
,,,,"Balko, J.M.","4",,,,,,,"International Reviews Of Immunology","1","Signal Transduction","16","Vanderbilt University Medical Center","7","Fondazione Marche","1",,,,,,
,,,,"Bartlett, J.M.S.","4",,,,,,,"Iranian Biomedical Journal","1","Breast Neoplasms","15","Yale Cancer Center","7","Food Security Research Center, Isfahan University of Medical Sciences","1",,,,,,
,,,,"Beck, A.H.","4",,,,,,,"Iranian Journal Of Biotechnology","1","Cancer Vaccine","15","NYU Langone Health","7","G1 Therapeutics","1",,,,,,
,,,,"Bedri, S.","4",,,,,,,"Journal For Immunotherapy Of Cancer","1","Drug Effect","15","Peter Maccallum Cancer Centre","7","Gastrointestinal and Liver Diseases Research Center","1",,,,,,
,,,,"Bellizzi, A.M.","4",,,,,,,"Journal Of Ethnopharmacology","1","Triple Negative Breast Cancer","15","IRCCS Istituto Tumori Giovanni Paolo II","7","Genentech","1",,,,,,
,,,,"Bellolio, E.","4",,,,,,,"Journal Of Immunotoxicology","1","Antineoplastic Agent","14","NSABP Foundation, Inc.","7","Government of Canada","1",,,,,,
,,,,"Bethmann, D.","4",,,,,,,"Journal Of Proteome Research","1","Biological Marker","14","Université Paris-Saclay","7","Guilan University of Medical Sciences","1",,,,,,
,,,,"Bianchi, S.","4",,,,,,,"Journal Of The Egyptian National Cancer Institute","1","Breast Tumor","14","Centre de Recherche en Épidémiologie et Santé des Populations","7","Higher Education Authority","1",,,,,,
,,,,"Boeckx, C.","4",,,,,,,"Journal Of Translational Medicine","1","Cancer Patient","14","Université PSL","7","Hormozgan University of Medical Sciences","1",,,,,,
,,,,"Bossuyt, V.","4",,,,,,,"Medical Oncology","1","Cell Proliferation","14","Fudan University Shanghai Cancer Center","7","Jahrom University of Medical Sciences","1",,,,,,
,,,,"Brcic, I.","4",,,,,,,"Methods In Molecular Biology","1","Cytotoxic T Lymphocyte","14","SBUMS School of Medicine","7","Kashan University of Medical Sciences","1",,,,,,
,,,,"Brock, J.","4",,,,,,,"Microbial Pathogenesis","1","Melanoma","14","The Sir Peter MacCallum Department of Oncology","7","Komarov Botanical Institute, Russian Academy of Sciences","1",,,,,,
,,,,"Brogi, E.","4",,,,,,,"Middle East Journal Of Cancer","1","CD8 Antigen","13","Sjællands Universitetshospital","7","Medical Research Council Canada","1",,,,,,
,,,,"Buisseret, L.","4",,,,,,,"Neoplasma","1","CD8-Positive T-Lymphocytes","13","Department of Biomedical Informatics","7","Melanoma Research Alliance","1",,,,,,
,,,,"Calhoun, B.","4",,,,,,,"Pathology International","1","Cancer Growth","13","CRUK Lung Cancer Centre of Excellence","7","Merck","1",,,,,,
,,,,"Carter, J.M.","4",,,,,,,"Pharmaceutical Research","1","Cytokine","13","The Johns Hopkins Hospital","6","Meso Scale Diagnostics","1",,,,,,
,,,,"Castillo, M.","4",,,,,,,"Pharmacological Research","1","Cytotoxic T Lymphocyte Antigen 4","13","Mayo Clinic in Jacksonville, Florida","6","National Brain Mapping Laboratory","1",,,,,,
,,,,"Chan, J.","4",,,,,,,"Philippine Journal Of Veterinary Medicine","1","Dendritic Cell","13","Universitätsklinikum Gießen und Marburg, Standort Marburg","6","National Center for Advancing Translational Sciences","1",,,,,,
,,,,"Chen, I.C.","4",,,,,,,"Process Biochemistry","1","Malignant Neoplasm","13","National Institutes of Health NIH","6","National Computational Infrastructure","1",,,,,,
,,,,"Chennubhotla, C.S.","4",,,,,,,"Scientific Reports","1","Mice, Inbred BALB C","13","Medizinische Universität Wien","6","National Institute for Health and Care Research","1",,,,,,
,,,,"Chmielik, E.","4",,,,,,,"Seminars In Cancer Biology","1","Nivolumab","13","Karolinska Universitetssjukhuset","6","National Institute for Medical Research Development","1",,,,,,
,,,,"Christie, M.","4",,,,,,,"Stem Cell Research And Therapy","1","Retrospective Study","13","University College London","6","National Institute of Allergy and Infectious Diseases","1",,,,,,
,,,,"Cimino-Mathews, A.","4",,,,,,,"Vaccine","1","Tumor Growth","13","Università degli studi di Bari Aldo Moro","6","National Science Foundation","1",,,,,,
,,,,"Colpaert, C.","4",,,,,,,"Virchows Archiv","1","Tumor Immunity","13","University of Tehran","6","Natural Sciences and Engineering Research Council of Canada","1",,,,,,
,,,,"Comerma, L.","4",,,,,,,"World Journal Of Stem Cells","1","Tumor Invasion","13","NYU Grossman School of Medicine","6","Novartis","1",,,,,,
,,,,"Coosemans, A.","4",,,,,,,"Yakhteh","1","Apoptosis","12","Stony Brook University","6","Novo Nordisk Fonden","1",,,,,,
,,,,"Criscitiello, C.","4",,,,,,,,,"B7-H1 Antigen","12","University College Hospital","6","Pfizer","1",,,,,,
,,,,"Cucherousset, J.","4",,,,,,,,,"Bagg Albino Mouse","12","Faculty of Life Sciences &amp; Medicine","6","Philips","1",,,,,,
,,,,"Curigliano, G.","4",,,,,,,,,"Cancer Therapy","12","Immunology Research Center","6","Prostate Cancer Foundation","1",,,,,,
,,,,"Deman, F.","4",,,,,,,,,"Cell Line, Tumor","12","Imam Khomeini Hospital","5","Regione Lombardia","1",,,,,,
,,,,"Denkert, C.","4",,,,,,,,,"Disease Free Survival","12","University of Oxford Medical Sciences Division","5","Research Institute for Dental Sciences, Shahid Beheshti University of Medical Sciences","1",,,,,,
,,,,"Denkert, C.","4",,,,,,,,,"Immune Checkpoint Inhibitors","12","Guy's Hospital","5","Research Institute for Gastroenterology and Liver Diseases","1",,,,,,
,,,,"Dieci, M.V.","4",,,,,,,,,"Immunomodulation","12","Fudan University","5","Rosetrees Trust","1",,,,,,
,,,,"Dillon, D.A.","4",,,,,,,,,"Interleukin 2","12","Food and Drug Administration","5","Royal Australasian College of Physicians","1",,,,,,
,,,,"Drubay, D.","4",,,,,,,,,"Ipilimumab","12","German Cancer Research Center","5","Russian Academy of Sciences","1",,,,,,
,,,,"Ehinger, A.","4",,,,,,,,,"Natural Killer Cell","12","Urmia University of Medical Sciences","5","Russian Science Foundation","1",,,,,,
,,,,"El Bairi, K.","4",,,,,,,,,"Pembrolizumab","12","School of Medicine, Isfahan UMS","5","Sanofi","1",,,,,,
,,,,"Falak, R.","4",,,,,,,,,"Programmed Cell Death 1 Receptor","12","University of Oxford","5","Science Foundation Ireland","1",,,,,,
,,,,"Farshid, G.","4",,,,,,,,,"Survival Rate","12","The University of Edinburgh","5","Seventh Framework Programme","1",,,,,,
,,,,"Floris, G.","4",,,,,,,,,"Treatment Response","12","Islamic Azad University","5","Susan G. Komen for the Cure","1",,,,,,
,,,,"Frahm, I.","4",,,,,,,,,"Cancer Grading","11","Children's Medical Center TUMS","5","U.S. Department of Veterans Affairs","1",,,,,,
,,,,"Francis, P.A.","4",,,,,,,,,"Carcinogenesis","11","Cellular and Molecular Research Center, Birjand University of Medical Sciences","5","UCLH Biomedical Research Centre","1",,,,,,
,,,,"Gaire, F.","4",,,,,,,,,"Cell Infiltration","11","Nanotechnology Research Center","5","University of British Columbia","1",,,,,,
,,,,"Gevaert, T.","4",,,,,,,,,"Cytokines","11","IUMS Immunology Research Center","5","University of Kurdistan","1",,,,,,
,,,,"Gharib, M.","4",,,,,,,,,"Cytotoxicity","11","Fred Hutchinson Cancer Center","5","University of Victoria","1",,,,,,
,,,,"Giltnane, J.","4",,,,,,,,,"Drug Efficacy","11","Jean Perrin Comprehensive Cancer Centre","4","Urmia University of Medical Sciences","1",,,,,,
,,,,"Gluz, O.","4",,,,,,,,,"PD-L1","11","GEICAM Spanish Breast Cancer Group","4","Wellcome Trust","1",,,,,,
,,,,"Goel, S.","4",,,,,,,,,"T-Lymphocytes","11","Roche","4","Undefined","67",,,,,,
,,,,"Goetz, M.P.","4",,,,,,,,,"Tumor Cell Line","11","Università degli Studi di Padova","4",,,,,,,,
,,,,"Gown, A.","4",,,,,,,,,"Adoptive Immunotherapy","10","Klinikum Bayreuth GmbH","4",,,,,,,,
,,,,"Haibe-Kans, B.","4",,,,,,,,,"Antineoplastic Agents","10","Newton-Wellesley Hospital","4",,,,,,,,
,,,,"Hainfellner, J.","4",,,,,,,,,"CD3 Antigen","10","Amsterdam UMC - University of Amsterdam","4",,,,,,,,
,,,,"Hall, J.A.","4",,,,,,,,,"Clinical Article","10","Tufts Medical Center","4",,,,,,,,
,,,,"Harbeck, N.","4",,,,,,,,,"Colorectal Neoplasms","10","University of Pittsburgh School of Medicine","4",,,,,,,,
,,,,"Harbhajanka, A.","4",,,,,,,,,"Colorectal Tumor","10","Baylor College of Medicine","4",,,,,,,,
,,,,"Haynes, H.R.","4",,,,,,,,,"Cytokine Production","10","Garvan Institute of Medical Research","4",,,,,,,,
,,,,"Hendry, S.","4",,,,,,,,,"Cytokine Release","10","Universitätsklinikum Heidelberg","4",,,,,,,,
,,,,"Hewitt, S.","4",,,,,,,,,"Enzyme Linked Immunosorbent Assay","10","Austin Health","4",,,,,,,,
,,,,"Hida, A.I.","4",,,,,,,,,"Immune System","10","Royal Melbourne Hospital","4",,,,,,,,
,,,,"Hiley, C.","4",,,,,,,,,"Immunotherapy, Adoptive","10","Medizinische Universität Graz","4",,,,,,,,
,,,,"Hills, R.","4",,,,,,,,,"In Vitro Study","10","University of Pennsylvania","4",,,,,,,,
,,,,"Hirsch, F.R.","4",,,,,,,,,"Macrophage","10","University of Iowa Hospitals &amp; Clinics","4",,,,,,,,
,,,,"Ignatiadis, M.","4",,,,,,,,,"Phenotype","10","Vanderbilt University School of Medicine","4",,,,,,,,
,,,,"Jank, P.","4",,,,,,,,,"Spleen Cell","10","Northwestern University","4",,,,,,,,
,,,,"Jelinic, P.","4",,,,,,,,,"T-Lymphocytes, Regulatory","10","Maastricht Universitair Medisch Centrum+","4",,,,,,,,
,,,,"Joensuu, H.","4",,,,,,,,,"Transforming Growth Factor Beta","10","Bethesda Mönchengladbach GmbH","4",,,,,,,,
,,,,"John, T.","4",,,,,,,,,"Cancer Vaccines","9","Universidade de São Paulo","4",,,,,,,,
,,,,"Kawaguchi, K.","4",,,,,,,,,"Clinical Outcome","9","F. Hoffmann-La Roche AG","4",,,,,,,,
,,,,"Kazemi, M.H.","4",,,,,,,,,"Disease Models, Animal","9","UMAE Hospital de Oncología Centro Medico Nacional Siglo XXI","4",,,,,,,,
