Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 48

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","20","2025","1","Baradaran, B.","7","Medicine","29","Review","48","final","48","Frontiers In Immunology","5","Human","46","Tehran University of Medical Sciences","21","National Institutes of Health","7","Iran","48","Journal","48","English","48"
"Gold","14","2024","6","Acs, B.","6","Biochemistry, Genetics and Molecular Biology","26",,,,,"Journal Of Cellular Physiology","4","Review","44","Tabriz University of Medical Sciences","12","U.S. Department of Health and Human Services","7","Italy","14",,,,
"Hybrid Gold","1","2023","8","Adams, S.","6","Immunology and Microbiology","10",,,,,"International Journal Of Molecular Sciences","3","Humans","38","Mashhad University of Medical Sciences","9","Breast Cancer Research Foundation","6","United States","12",,,,
"Bronze","2","2022","5","Azmoudeh-Ardalan, F.","6","Pharmacology, Toxicology and Pharmaceutics","6",,,,,"Journal Of Pathology","3","Tumor Associated Leukocyte","37","Karolinska Institutet","8","National Cancer Institute","5","Germany","11",,,,
"Green","16","2021","10","Blenman, K.R.M.","6","Chemical Engineering","4",,,,,"Npj Breast Cancer","3","Cancer Immunotherapy","29","School of Medicine","8","Tabriz University of Medical Sciences","5","Canada","9",,,,
,,"2020","10","Broeckx, G.","6","Computer Science","4",,,,,"Cancer Letters","2","Tumor Microenvironment","28","Weill Cornell Medicine","7","Department of Health and Aged Care, Australian Government","4","Sweden","9",,,,
,,"2019","3","Ciompi, F.","6","Chemistry","3",,,,,"Expert Opinion On Biological Therapy","2","Immunotherapy","24","Iran University of Medical Sciences","7","Japan Society for the Promotion of Science","4","United Kingdom","9",,,,
,,"2018","2","Fineberg, S.","6",,,,,,,"IUBMB Life","2","Lymphocytes, Tumor-Infiltrating","21","Faculty of Medicine","7","Ministry of Education, Culture, Sports, Science and Technology","4","Japan","8",,,,
,,"2017","1","Grigoriadis, A.","6",,,,,,,"Pathology Research And Practice","2","Pathology","20","Immunology Research Center","7","National Health and Medical Research Council","4","Netherlands","8",,,,
,,"2016","2","Hanna, M.G.","6",,,,,,,"BJU International","1","Immunology","19","Praava Health","6","U.S. Department of Defense","4","China","7",,,,
,,,,"Hartman, J.","6",,,,,,,"Breast","1","Nonhuman","17","Université Libre de Bruxelles","6","UK Research and Innovation","4","France","7",,,,
,,,,"Husain, Z.","6",,,,,,,"Cancers","1","Programmed Death 1 Ligand 1","16","Case Western Reserve University","6","Congressionally Directed Medical Research Programs","3","Argentina","6",,,,
,,,,"Irshad, S.","6",,,,,,,"Cell Communication And Signaling","1","Immune Checkpoint Inhibitor","15","Inserm","6","DOD Prostate Cancer Research Program","3","Australia","6",,,,
,,,,"Kirtani, P.","6",,,,,,,"Cells","1","Neoplasms","14","Emory University School of Medicine","6","Engineering and Physical Sciences Research Council","3","Bangladesh","6",,,,
,,,,"Kos, Z.","6",,,,,,,"Clinical And Translational Oncology","1","Immune Response","13","Albert Einstein College of Medicine","6","European Commission","3","Belgium","6",,,,
,,,,"Larsimont, D.","6",,,,,,,"Clinical Genitourinary Cancer","1","Neoplasm","13","Radboud University Medical Center","6","Horizon 2020 Framework Programme","3","Brazil","6",,,,
,,,,"Lennerz, J.K.","6",,,,,,,"Clinical Immunology","1","Priority Journal","13","Bristol-Myers Squibb","6","KWF Kankerbestrijding","3","Chile","6",,,,
,,,,"Loi, S.","6",,,,,,,"Cochrane Database Of Systematic Reviews","1","Metabolism","12","Harvard Medical School","6","Mayo Clinic","3","Denmark","6",,,,
,,,,"Madabhushi, A.","6",,,,,,,"Computers In Biology And Medicine","1","Procedures","12","University College Dublin","6","National Heart, Lung, and Blood Institute","3","India","6",,,,
